0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022_08_11_112650_642_3337.pcd,830.01,587.76,611.39,390176.41,754.36,864.38,521765.98,2584.79,645.84,825.01,430989.51,2424.23,654.2,666.34,762,825.15,896.83,0.84,0.87,473555.54,548528.25,2473.35,2651.65,2
2022_11_17_074128_750_5491.scd,900.01,611.78,626.52,423177.39,803.46,923.58,579458.47,2730.4,665.74,894.65,469575.09,2612.96,739.06,705.13,825.81,881.8,946.09,0.82,0.89,519949.85,603558.89,2626.62,2784.84,2
2022_11_17_074208_750_5491.scd,1360.01,598.04,594.91,451042.82,781.05,924.24,582183.16,2720.1,584.48,911.96,461696.61,2408.92,600.83,701.27,784.78,934.3,1068.54,0.76,0.84,547923.17,621262.48,2725.98,3047.45,2
2022_11_17_174555_688.7_3337.scd,1300.01,539,610.08,419138.24,794.33,884.26,571233,2702.27,586.1,930.39,387136.74,2191.71,590.42,677.15,813.87,878.62,998.61,0.79,0.9,503799.53,599299.58,2582.48,2760.85,2
2022_08_11_104741_780_9085.pcd,1100.01,575.4,571.5,413090.92,775.01,905.8,562592.95,2685,645.95,916.03,468113.61,2552.93,638.42,678.02,798.13,881.57,936.66,0.79,0.87,506241.26,586206.73,2580.91,2723.03,2
2022_11_17_082045_750_8906.scd,440,607.63,652.12,438895.17,732.18,836.37,494043.4,2306.71,679.64,823.27,458411.12,1994.47,683.08,652.15,768.99,824.09,865.2,0.87,0.9,490101.2,544519.21,2371.4,2627.93,2
2022_11_17_171635_810_3748.scd,1100.01,574.34,639.35,465413.48,846.31,883.46,593622.02,2742.87,718.07,887.8,500775.69,2565.63,719.98,719.38,860.3,853.34,897.33,0.88,0.98,525324.16,612766.02,2602.37,2779.17,3
2022_11_17_081044_790_1523.scd,750.01,690.29,675.36,461492.96,857.4,898.87,600960.35,2744.62,694.68,929.1,504413.39,2578.58,678.15,731.72,879.84,917.15,1083.46,0.83,0.97,558305.26,628320.65,2640.64,2951.45,2
2022_11_17_080242_852_7457.scd,1220.01,680.4,692.86,513923.24,858.79,910.27,615294.18,2821.58,598.57,1011.24,462632.26,2316.23,608.6,737.74,868.07,908.53,1048.58,0.84,0.95,557889.44,634536.48,2726.13,2864.54,2
2022_11_17_080606_743_9063.scd,940.01,613.62,639.01,429398.39,785.49,884.81,556297.19,2663.85,673.07,892.4,486336.23,2607.97,673.18,684.11,798.75,849.62,894.01,0.84,0.91,502718.91,572111.93,2556.5,2696.18,2
